Source Function,Target Function
"burnTokens(address,uint256)","approve(address,uint256)"
unpause(),"approve(address,uint256)"
"mint(address,uint256)","approve(address,uint256)"
finishMinting(),"approve(address,uint256)"
pause(),"approve(address,uint256)"
transferOwnership(address),"approve(address,uint256)"
unpause(),"burnTokens(address,uint256)"
"mint(address,uint256)","burnTokens(address,uint256)"
finishMinting(),"burnTokens(address,uint256)"
pause(),"burnTokens(address,uint256)"
transferOwnership(address),"burnTokens(address,uint256)"
"approve(address,uint256)","burnTokens(address,uint256)"
"transferFrom(address,address,uint256)","burnTokens(address,uint256)"
"decreaseApproval(address,uint256)","burnTokens(address,uint256)"
"transfer(address,uint256)","burnTokens(address,uint256)"
"increaseApproval(address,uint256)","burnTokens(address,uint256)"
"burnTokens(address,uint256)","transferFrom(address,address,uint256)"
unpause(),"transferFrom(address,address,uint256)"
"mint(address,uint256)","transferFrom(address,address,uint256)"
finishMinting(),"transferFrom(address,address,uint256)"
pause(),"transferFrom(address,address,uint256)"
transferOwnership(address),"transferFrom(address,address,uint256)"
"approve(address,uint256)","transferFrom(address,address,uint256)"
"decreaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
"increaseApproval(address,uint256)","transferFrom(address,address,uint256)"
"burnTokens(address,uint256)",unpause()
"mint(address,uint256)",unpause()
finishMinting(),unpause()
pause(),unpause()
transferOwnership(address),unpause()
"burnTokens(address,uint256)","mint(address,uint256)"
unpause(),"mint(address,uint256)"
finishMinting(),"mint(address,uint256)"
pause(),"mint(address,uint256)"
transferOwnership(address),"mint(address,uint256)"
"burnTokens(address,uint256)","decreaseApproval(address,uint256)"
unpause(),"decreaseApproval(address,uint256)"
"mint(address,uint256)","decreaseApproval(address,uint256)"
finishMinting(),"decreaseApproval(address,uint256)"
pause(),"decreaseApproval(address,uint256)"
transferOwnership(address),"decreaseApproval(address,uint256)"
"burnTokens(address,uint256)",finishMinting()
unpause(),finishMinting()
"mint(address,uint256)",finishMinting()
pause(),finishMinting()
transferOwnership(address),finishMinting()
"burnTokens(address,uint256)",pause()
unpause(),pause()
"mint(address,uint256)",pause()
finishMinting(),pause()
transferOwnership(address),pause()
"burnTokens(address,uint256)","transfer(address,uint256)"
unpause(),"transfer(address,uint256)"
"mint(address,uint256)","transfer(address,uint256)"
finishMinting(),"transfer(address,uint256)"
pause(),"transfer(address,uint256)"
transferOwnership(address),"transfer(address,uint256)"
"burnTokens(address,uint256)","increaseApproval(address,uint256)"
unpause(),"increaseApproval(address,uint256)"
"mint(address,uint256)","increaseApproval(address,uint256)"
finishMinting(),"increaseApproval(address,uint256)"
pause(),"increaseApproval(address,uint256)"
transferOwnership(address),"increaseApproval(address,uint256)"
"burnTokens(address,uint256)",transferOwnership(address)
unpause(),transferOwnership(address)
"mint(address,uint256)",transferOwnership(address)
finishMinting(),transferOwnership(address)
pause(),transferOwnership(address)
